Epoch [159/300], Train Loss: 0.001412, Val Loss: 0.001536, Epoch Time: 345.19s
Epoch [160/300], Train Loss: 0.001422, Val Loss: 0.001627, Epoch Time: 342.70s
Epoch [161/300], Train Loss: 0.001477, Val Loss: 0.001702, Epoch Time: 345.51s
Epoch [162/300], Train Loss: 0.001432, Val Loss: 0.001661, Epoch Time: 348.44s
Epoch [163/300], Train Loss: 0.001407, Val Loss: 0.001524, Epoch Time: 344.70s
Epoch [164/300], Train Loss: 0.001391, Val Loss: 0.001690, Epoch Time: 348.21s
Epoch [165/300], Train Loss: 0.001431, Val Loss: 0.001604, Epoch Time: 347.77s
Epoch [166/300], Train Loss: 0.001401, Val Loss: 0.001546, Epoch Time: 345.63s
Epoch [167/300], Train Loss: 0.001448, Val Loss: 0.001624, Epoch Time: 360.77s
Epoch [168/300], Train Loss: 0.001365, Val Loss: 0.001535, Epoch Time: 355.27s
Epoch [169/300], Train Loss: 0.001364, Val Loss: 0.001533, Epoch Time: 358.80s
Epoch [170/300], Train Loss: 0.001349, Val Loss: 0.001539, Epoch Time: 341.59s
Epoch [171/300], Train Loss: 0.001399, Val Loss: 0.001581, Epoch Time: 343.22s
Epoch [172/300], Train Loss: 0.001383, Val Loss: 0.001549, Epoch Time: 337.55s
Epoch [173/300], Train Loss: 0.001350, Val Loss: 0.001590, Epoch Time: 340.95s
Epoch [174/300], Train Loss: 0.001361, Val Loss: 0.001486, Epoch Time: 345.27s
Epoch [175/300], Train Loss: 0.001345, Val Loss: 0.001529, Epoch Time: 345.93s
Epoch [176/300], Train Loss: 0.001342, Val Loss: 0.001537, Epoch Time: 338.19s
Epoch [177/300], Train Loss: 0.001333, Val Loss: 0.001470, Epoch Time: 345.72s
Epoch [178/300], Train Loss: 0.001364, Val Loss: 0.001415, Epoch Time: 346.84s
Epoch [179/300], Train Loss: 0.001347, Val Loss: 0.001443, Epoch Time: 347.19s
Epoch [180/300], Train Loss: 0.001394, Val Loss: 0.001501, Epoch Time: 344.56s
Epoch [181/300], Train Loss: 0.001340, Val Loss: 0.001419, Epoch Time: 340.38s
Epoch [182/300], Train Loss: 0.001317, Val Loss: 0.001471, Epoch Time: 345.34s
Epoch [183/300], Train Loss: 0.001316, Val Loss: 0.001433, Epoch Time: 343.68s
Epoch [184/300], Train Loss: 0.001326, Val Loss: 0.001453, Epoch Time: 341.19s
Epoch [185/300], Train Loss: 0.001363, Val Loss: 0.001573, Epoch Time: 359.91s
Epoch [186/300], Train Loss: 0.001384, Val Loss: 0.001717, Epoch Time: 346.01s
Epoch [187/300], Train Loss: 0.001355, Val Loss: 0.001499, Epoch Time: 361.69s
Epoch [188/300], Train Loss: 0.001422, Val Loss: 0.001615, Epoch Time: 340.32s
Epoch [189/300], Train Loss: 0.001316, Val Loss: 0.001440, Epoch Time: 342.83s
Epoch [190/300], Train Loss: 0.001331, Val Loss: 0.001456, Epoch Time: 329.81s
Epoch [191/300], Train Loss: 0.001348, Val Loss: 0.001459, Epoch Time: 341.69s
Epoch [192/300], Train Loss: 0.001344, Val Loss: 0.001665, Epoch Time: 342.50s
Epoch [193/300], Train Loss: 0.001438, Val Loss: 0.002814, Epoch Time: 334.44s
Epoch [194/300], Train Loss: 0.001589, Val Loss: 0.002983, Epoch Time: 343.44s
Epoch [195/300], Train Loss: 0.001475, Val Loss: 0.001637, Epoch Time: 372.35s
Epoch [196/300], Train Loss: 0.001447, Val Loss: 0.001518, Epoch Time: 334.21s
Epoch [197/300], Train Loss: 0.001355, Val Loss: 0.001672, Epoch Time: 341.93s
Epoch [198/300], Train Loss: 0.001414, Val Loss: 0.001458, Epoch Time: 348.24s
Epoch [199/300], Train Loss: 0.001382, Val Loss: 0.001407, Epoch Time: 346.65s
Epoch [200/300], Train Loss: 0.001414, Val Loss: 0.001466, Epoch Time: 357.93s
Epoch [201/300], Train Loss: 0.001393, Val Loss: 0.001407, Epoch Time: 351.53s
Epoch [202/300], Train Loss: 0.001349, Val Loss: 0.001423, Epoch Time: 345.13s
Epoch [203/300], Train Loss: 0.001337, Val Loss: 0.001409, Epoch Time: 346.75s
Epoch [204/300], Train Loss: 0.001327, Val Loss: 0.001437, Epoch Time: 367.24s
Epoch [205/300], Train Loss: 0.001344, Val Loss: 0.001404, Epoch Time: 357.70s
Epoch [206/300], Train Loss: 0.001337, Val Loss: 0.001404, Epoch Time: 343.60s
Epoch [207/300], Train Loss: 0.001287, Val Loss: 0.001390, Epoch Time: 355.28s
Epoch [208/300], Train Loss: 0.001308, Val Loss: 0.001373, Epoch Time: 347.35s
Epoch [209/300], Train Loss: 0.001294, Val Loss: 0.001371, Epoch Time: 353.70s
Epoch [210/300], Train Loss: 0.001285, Val Loss: 0.001346, Epoch Time: 357.45s
Epoch [211/300], Train Loss: 0.001311, Val Loss: 0.001362, Epoch Time: 352.77s
Epoch [212/300], Train Loss: 0.001297, Val Loss: 0.001414, Epoch Time: 350.33s
Epoch [213/300], Train Loss: 0.001284, Val Loss: 0.001366, Epoch Time: 353.58s
Epoch [214/300], Train Loss: 0.001269, Val Loss: 0.001356, Epoch Time: 360.92s
Epoch [215/300], Train Loss: 0.001304, Val Loss: 0.001355, Epoch Time: 348.06s
Epoch [216/300], Train Loss: 0.001289, Val Loss: 0.001352, Epoch Time: 351.24s
Epoch [217/300], Train Loss: 0.001281, Val Loss: 0.001348, Epoch Time: 361.48s
Epoch [218/300], Train Loss: 0.001266, Val Loss: 0.001332, Epoch Time: 352.85s
Epoch [219/300], Train Loss: 0.001272, Val Loss: 0.001346, Epoch Time: 347.39s
Epoch [220/300], Train Loss: 0.001301, Val Loss: 0.001351, Epoch Time: 349.94s
